epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
91,6657.52,1.15308,0.8042,1.29468,0.90992,0.92325,0.97375,0.69971,0.93244,0.48,1.19965,9.5275e-05,9.5275e-05,9.5275e-05
92,6730.72,1.15255,0.80273,1.28815,0.9318,0.93123,0.96878,0.70505,0.93161,0.4753,1.19986,9.22225e-05,9.22225e-05,9.22225e-05
93,6803.08,1.13045,0.77292,1.28012,0.92203,0.94103,0.97422,0.68766,0.93525,0.47774,1.20196,8.917e-05,8.917e-05,8.917e-05
94,6875.84,1.14164,0.7952,1.28856,0.95064,0.92141,0.97568,0.70187,0.92033,0.47433,1.18985,8.61175e-05,8.61175e-05,8.61175e-05
95,6950.35,1.12792,0.77344,1.28421,0.92007,0.92871,0.97382,0.71104,0.92276,0.46855,1.19035,8.3065e-05,8.3065e-05,8.3065e-05
96,7023.86,1.12871,0.77808,1.28683,0.90661,0.95361,0.9754,0.71555,0.92106,0.46734,1.19345,8.00125e-05,8.00125e-05,8.00125e-05
97,7097.2,1.12686,0.79403,1.27767,0.90572,0.94219,0.97281,0.71518,0.90164,0.46272,1.18192,7.696e-05,7.696e-05,7.696e-05
98,7170.91,1.13251,0.78216,1.27744,0.9143,0.93723,0.97441,0.73021,0.89226,0.46045,1.17221,7.39075e-05,7.39075e-05,7.39075e-05
99,7244.23,1.12234,0.76398,1.27071,0.92868,0.94102,0.97551,0.73105,0.88137,0.45179,1.17185,7.0855e-05,7.0855e-05,7.0855e-05
100,7316.96,1.11222,0.76175,1.26625,0.9238,0.95096,0.97716,0.72488,0.87987,0.4486,1.16604,6.78025e-05,6.78025e-05,6.78025e-05
101,7389.67,1.1053,0.74852,1.26425,0.92883,0.95548,0.97635,0.72924,0.87625,0.44338,1.16669,6.475e-05,6.475e-05,6.475e-05
102,7462.58,1.0803,0.75069,1.25617,0.94794,0.92511,0.97664,0.72282,0.87525,0.44602,1.16633,6.16975e-05,6.16975e-05,6.16975e-05
103,7535.67,1.10037,0.75815,1.26583,0.9248,0.93326,0.96839,0.73035,0.86918,0.44079,1.16319,5.8645e-05,5.8645e-05,5.8645e-05
104,7609.18,1.09311,0.75964,1.2643,0.91106,0.94715,0.96838,0.72828,0.85839,0.43527,1.15874,5.55925e-05,5.55925e-05,5.55925e-05
105,7683.27,1.08849,0.74454,1.25784,0.923,0.95046,0.96979,0.72362,0.86536,0.43433,1.16473,5.254e-05,5.254e-05,5.254e-05
106,7756.08,1.07678,0.72591,1.24702,0.90261,0.96409,0.97565,0.72852,0.86313,0.43353,1.15797,4.94875e-05,4.94875e-05,4.94875e-05
107,7828.98,1.06491,0.7165,1.24863,0.91292,0.9569,0.97807,0.73971,0.84932,0.43076,1.14958,4.6435e-05,4.6435e-05,4.6435e-05
108,7902.32,1.07217,0.73719,1.24831,0.93329,0.94304,0.97703,0.73158,0.84392,0.42872,1.14643,4.33825e-05,4.33825e-05,4.33825e-05
109,7977.54,1.06901,0.72072,1.24632,0.93601,0.94805,0.9757,0.73082,0.83708,0.42477,1.14063,4.033e-05,4.033e-05,4.033e-05
110,8050.77,1.07408,0.73732,1.24973,0.92465,0.94805,0.97656,0.73455,0.83354,0.42578,1.14096,3.72775e-05,3.72775e-05,3.72775e-05
111,8123.03,0.97014,0.53542,1.21586,0.91426,0.94203,0.97493,0.72354,0.86364,0.43969,1.15406,3.4225e-05,3.4225e-05,3.4225e-05
112,8191.82,0.92915,0.50486,1.19322,0.9562,0.91259,0.97588,0.73604,0.84233,0.42871,1.1386,3.11725e-05,3.11725e-05,3.11725e-05
113,8261.61,0.93121,0.5045,1.19414,0.94979,0.92904,0.97608,0.72406,0.83497,0.42673,1.13251,2.812e-05,2.812e-05,2.812e-05
114,8331.56,0.92027,0.49257,1.18045,0.95139,0.92098,0.97436,0.73083,0.83604,0.42648,1.13313,2.50675e-05,2.50675e-05,2.50675e-05
115,8400.79,0.92064,0.48827,1.1833,0.94943,0.93305,0.97654,0.73422,0.83097,0.42203,1.13271,2.2015e-05,2.2015e-05,2.2015e-05
116,8471.11,0.91489,0.48738,1.1728,0.94978,0.93237,0.97689,0.74017,0.82717,0.42155,1.12937,1.89625e-05,1.89625e-05,1.89625e-05
117,8539.58,0.89111,0.47803,1.1641,0.95243,0.93046,0.97687,0.74588,0.81394,0.41816,1.12207,1.591e-05,1.591e-05,1.591e-05
118,8608.26,0.89549,0.47888,1.17124,0.95301,0.92633,0.97726,0.7391,0.81604,0.41749,1.12454,1.28575e-05,1.28575e-05,1.28575e-05
119,8676.68,0.88784,0.47335,1.16241,0.95811,0.9174,0.97522,0.7406,0.81354,0.41477,1.12267,9.805e-06,9.805e-06,9.805e-06
120,8744.57,0.87552,0.46384,1.15806,0.95635,0.92292,0.97782,0.7455,0.80877,0.41037,1.11987,6.7525e-06,6.7525e-06,6.7525e-06
